term,estimate,std.error,statistic,p.value,model,outcome,HR,lci,uci
(Intercept),5.388118391247041,0.06017506833277762,89.54071080484523,0,m0,mortstat,218.79131834123052,194.45003825085453,246.17964291546392
clusterMOD,0.7989972537881681,0.11900885485239004,6.713763062245968,1.8966820191173773e-11,m0,mortstat,2.223310394273914,1.760750076828745,2.807388268407389
clusterSIDD,0.5722363006399984,0.1324211014297065,4.321337720814536,1.5508609050609853e-5,m0,mortstat,1.7722258530580037,1.3670989526404345,2.2974082952671515
clusterSIRD,0.4294145638067787,0.15213559105268812,2.8225779440266705,0.004763924036187134,m0,mortstat,1.5363578207406845,1.1402286418737908,2.070107052803127
Log(scale),-0.3612721664442753,0.051413228340702916,-7.026832939768202,2.1127407158865576e-12,m0,mortstat,0.6967893299829947,0.6299958203447034,0.7706644309362244
(Intercept),6.349014125226785,0.1521207604277337,41.73667096703043,0,m0,mortality_heart,571.928581019476,424.4768352582841,770.6010661050971
clusterMOD,0.6351223665722249,0.20913636468227217,3.03688154634,0.0023903937132366,m0,mortality_heart,1.8872530640182135,1.2525921095038803,2.843482807070246
clusterSIDD,0.37711125634975545,0.24503871824700033,1.5389864060977716,0.12380761496735723,m0,mortality_heart,1.4580665195062656,0.9019784672666648,2.3569941550240894
clusterSIRD,0.5662396081543125,0.2809022730831063,2.0157886297587484,0.043822083026778196,m0,mortality_heart,1.7616301609078031,1.0157945893825437,3.0550869794516573
Log(scale),-0.45100353607374016,0.08088282133799922,-5.5760114275570665,2.460957673869443e-8,m0,mortality_heart,0.6369885897353752,0.5436042024839786,0.7464152440304594
(Intercept),7.276026409454629,0.24362932593020864,29.865150189427354,5.581617774411096e-196,m0,mortality_malignant_neoplasms,1445.2338327898037,896.5131226920998,2329.805084356421
clusterMOD,0.9074388642909789,0.31859573485318926,2.848245487997923,0.004396099997415308,m0,mortality_malignant_neoplasms,2.477967987133008,1.3270935151651324,4.6268972571175295
clusterSIDD,0.3852576732190258,0.4121582280738237,0.9347324570456481,0.3499261956425233,m0,mortality_malignant_neoplasms,1.4699930504861471,0.6553587693697093,3.297246744032726
clusterSIRD,-0.03354862379264515,0.3170130556425277,-0.10582726230201531,0.9157194060550811,m0,mortality_malignant_neoplasms,0.9670078904970952,0.5194970157880208,1.8000185407517502
Log(scale),-0.09127385871057997,0.07722816393697512,-1.1818727010662502,0.23725621533722588,m0,mortality_malignant_neoplasms,0.9127677072806191,0.7845530706954885,1.0619356657615957
(Intercept),5.870073719753669,0.08247862259707957,71.1708505175924,0,m0,mortality_any_other,354.27509637795293,301.39316832530494,416.4355967688666
clusterMOD,0.8003889308592579,0.17133573761484933,4.671465171256191,2.9905881333148018e-6,m0,mortality_any_other,2.2264066783856116,1.5913311784874495,3.1149309236004172
clusterSIDD,0.6795828259436546,0.17209409369077808,3.948902669284757,7.851026329184635e-5,m0,mortality_any_other,1.9730544533873904,1.4081522757937734,2.7645759219025985
clusterSIRD,0.5123466255233744,0.2070835645624301,2.4741056906470034,0.01335701754300739,m0,mortality_any_other,1.6692035984453986,1.112336590116492,2.504853906470227
Log(scale),-0.3327853650378942,0.07070662160194549,-4.706565771327103,2.5192473055777056e-6,m0,mortality_any_other,0.7169240546104859,0.6241463871227814,0.8234928707166086
(Intercept),9.324321689401529,0.36769268130953425,25.359008115671596,7.14892868817775e-142,m1,mortstat,11207.311865445032,5451.488851085542,23040.281779964356
clusterMOD,-0.05794703342884445,0.14376988108237979,-0.40305405410776507,0.6869084598226873,m1,mortstat,0.9436999306625937,0.7119582546843689,1.250873282630031
clusterSIDD,-0.007706139292462066,0.12070576512422941,-0.06384234658991614,0.9490957593113258,m1,mortstat,0.99232347687467,0.7832608952508023,1.2571875970411217
clusterSIRD,0.05992869269122866,0.15125205841345443,0.39621736933596524,0.691944678769101,m1,mortstat,1.0617608325383836,0.7893658780969665,1.4281540370486072
dm_age,-0.06252244406989754,0.005345921565755703,-11.6953537946379,1.346249783363252e-31,m1,mortstat,0.9393919787976378,0.9296004113905845,0.9492866816929203
Log(scale),-0.44128167196834467,0.05446264730118841,-8.102464603455212,5.385681517985812e-16,m1,mortstat,0.6432115064035794,0.5780884116478596,0.7156708794605253
(Intercept),10.046931075291841,0.6577114629599154,15.275590651981926,1.1121575585908851e-52,m1,mortality_heart,23084.83241160542,6360.209575350576,83788.03892520069
clusterMOD,-0.17230471426415203,0.2011584192121717,-0.8565622803110903,0.39168683929595255,m1,mortality_heart,0.8417226491895592,0.5674655615734597,1.2485286617115232
clusterSIDD,-0.11939137074166106,0.23758938194275878,-0.502511390725472,0.6153078419043999,m1,mortality_heart,0.8874604067488738,0.5570687824424297,1.4138038216641042
clusterSIRD,0.21545721823194597,0.2519229051375713,0.8552506097620938,0.39241242379735997,m1,mortality_heart,1.2404289140458453,0.7570608271718848,2.032417786756801
dm_age,-0.06006012660464053,0.008693564514867727,-6.9085731752408055,4.895524518924887e-12,m1,mortality_heart,0.9417079101827769,0.9257977200640191,0.957891523041869
Log(scale),-0.5486586343713613,0.08385146427277312,-6.5432206715740415,6.020788664335091e-11,m1,mortality_heart,0.5777242302995962,0.4901677966541857,0.680920469589178
(Intercept),10.351616993560985,0.6820989669231531,15.176121788097097,5.090002015930404e-52,m1,mortality_malignant_neoplasms,31307.626142016088,8223.103885274695,119196.77390960096
clusterMOD,0.23313389393714878,0.35940968718718797,0.6486577915072385,0.5165595921469177,m1,mortality_malignant_neoplasms,1.2625505158699437,0.6241846175269095,2.5537857876716097
clusterSIDD,-0.06133716060134592,0.39379920170909555,-0.15575745287227996,0.8762242089061636,m1,mortality_malignant_neoplasms,0.9405060847158265,0.43466328897747963,2.035027382846963
clusterSIRD,-0.32075350763355825,0.31656941736206523,-1.0132169756205718,0.31095653379129423,m1,mortality_malignant_neoplasms,0.7256020843235699,0.3901478279458623,1.349484341734608
dm_age,-0.05021302234249087,0.00939675731416065,-5.343654269629935,9.10912336500826e-8,m1,mortality_malignant_neoplasms,0.9510268129616192,0.9336714523852687,0.9687047801036578
Log(scale),-0.12436358031264896,0.08080404583706167,-1.5390761566991764,0.12378570515184127,m1,mortality_malignant_neoplasms,0.8830587197442143,0.7537160976809975,1.0345973834385718
(Intercept),9.894284116748448,0.4997410799162745,19.798820858205442,3.0474362751412607e-87,m1,mortality_any_other,19816.775723981453,7441.231215666701,52774.14297620318
clusterMOD,-0.08168084659910393,0.19992617495526793,-0.40855504096639395,0.6828662301710431,m1,mortality_any_other,0.9215660326999798,0.6227960698397672,1.3636629930000743
clusterSIDD,0.07562113777119,0.16770646719291651,0.4509136650299914,0.6520517743259,m1,mortality_any_other,1.0785538734171614,0.7764030200158136,1.4982920311663248
clusterSIRD,0.11724707061734112,0.20076578511873028,0.5839992633605509,0.5592208076437888,m1,mortality_any_other,1.1243972008851328,0.7586203167270342,1.6665373144932913
dm_age,-0.06419482969405035,0.006979483697494181,-9.197647344186503,3.658722959493853e-20,m1,mortality_any_other,0.9378222661051799,0.9250804079435584,0.9507396278749384
Log(scale),-0.41203139580217385,0.07402701636087546,-5.565959781406772,2.607133757528155e-8,m1,mortality_any_other,0.6623034821765983,0.5728540264467706,0.7657202048906371
(Intercept),9.36960611911497,0.3553726098889926,26.365583217124538,3.4015995558167787e-153,m2,mortstat,11726.495335355632,5843.445026710346,23532.469668415975
clusterMOD,-0.08708846496423149,0.14193152853680904,-0.6135949204664956,0.5394830409808635,m2,mortstat,0.9165960054135499,0.6940062859882629,1.2105772730051108
clusterSIDD,-0.011405023824822419,0.11981778540742631,-0.0951864014682042,0.9241667709978,m2,mortstat,0.9886597669121777,0.7817284235449796,1.2503679094567302
clusterSIRD,0.0705565409493928,0.15237328021195434,0.46305061393472147,0.6433280880929749,m2,mortstat,1.0731052421046385,0.7960485613591108,1.4465887089430578
gender,0.2064352661717529,0.0854928520239561,2.414649427228224,0.015750361011218433,m2,mortstat,1.2292881551130608,1.0396345697901783,1.4535389763022757
dm_age,-0.0644793284724589,0.00519123085368129,-12.420817006574511,2.0149320143818312e-35,m2,mortstat,0.9375554947659681,0.9280644103074243,0.9471436421903996
smoke_current,-0.06382355683198138,0.12091740828140242,-0.5278276944494988,0.5976189333914479,m2,mortstat,0.9381705187063984,0.7402097573559517,1.1890736557078103
Log(scale),-0.4438020100954666,0.05501943125841194,-8.066277675809555,7.247387393088894e-16,m2,mortstat,0.6415924370783037,0.5760043332206913,0.7146488864318323
(Intercept),10.06033632594543,0.6435160887459483,15.633387419342545,4.312545098694247e-55,m2,mortality_heart,23396.37385662028,6627.909949004195,82588.6763475094
clusterMOD,-0.20570729472126983,0.20666489029375196,-0.9953664332092355,0.319558077968474,m2,mortality_heart,0.8140713243868918,0.5429323894972288,1.2206162940522274
clusterSIDD,-0.11895655988758115,0.22604589463290758,-0.5262495922819717,0.5987148013131703,m2,mortality_heart,0.8878463680702995,0.570064074328776,1.3827764435493932
clusterSIRD,0.23920951351653869,0.25715456220995014,0.9302168760328643,0.3522588058428598,m2,mortality_heart,1.2702446421283458,0.7673491021596417,2.102721494447109
gender,0.46200323859580816,0.13447734279773943,3.435547051897686,5.913587639648723e-4,m2,mortality_heart,1.5872504436799053,1.2194837905605578,2.065926575214243
dm_age,-0.06343872309855873,0.008848801653977178,-7.169188052717352,7.544386621126814e-13,m2,mortality_heart,0.9385316278487323,0.9223944062945887,0.9549511688940941
smoke_current,0.06517062606803727,0.20640228043527156,0.31574566875231297,0.7521955598980163,m2,mortality_heart,1.0673411250676137,0.7122132930189601,1.5995448111220132
Log(scale),-0.5561455912007196,0.08400483822166746,-6.620399526670028,3.582293326394642e-11,m2,mortality_heart,0.5734149856218724,0.48636540564846187,0.6760446814619616
(Intercept),10.56267372190154,0.6862177966322942,15.392596597959535,1.8351751432798188e-53,m2,mortality_malignant_neoplasms,38664.36763362142,10073.735200297271,148399.1086507532
clusterMOD,0.15610181248653843,0.3683599261294342,0.4237752301852928,0.6717297442097538,m2,mortality_malignant_neoplasms,1.1689452102500415,0.5678581412768656,2.4062927080590963
clusterSIDD,-0.06779658001082285,0.38764811416369294,-0.17489206714467403,0.8611644437078831,m2,mortality_malignant_neoplasms,0.9344505401636534,0.43710279453837486,1.997694416331356
clusterSIRD,-0.296440098368032,0.3180406732517893,-0.9320823507795294,0.35129396835350896,m2,mortality_malignant_neoplasms,0.7434601604071986,0.3985988254319254,1.3866900122290902
gender,0.3557091376137072,0.23119097148603962,1.5385944153757172,0.12390334277845344,m2,mortality_malignant_neoplasms,1.4271923713082744,0.9071702257398226,2.2453096529478844
dm_age,-0.05501689413097266,0.009638437649764093,-5.708071798578189,1.1426322174506452e-8,m2,mortality_malignant_neoplasms,0.9464691580444988,0.9287569201658609,0.9645191843840976
smoke_current,-0.3056568451771729,0.2792018843331696,-1.094752085599948,0.27362526298248285,m2,mortality_malignant_neoplasms,0.7366393574376804,0.42618040413568087,1.2732578449417442
Log(scale),-0.1272120919418147,0.08122471389300015,-1.5661747003429913,0.11730772386344929,m2,mortality_malignant_neoplasms,0.8805468958899316,0.750952760616264,1.032505473746575
(Intercept),9.889878638673283,0.4996897282383092,19.79203909902398,3.486468651158874e-87,m2,mortality_any_other,19729.665375262826,7409.266839269845,52536.87095688471
clusterMOD,-0.0872926258134146,0.19680350124973547,-0.443552199321108,0.6573663716744174,m2,mortality_any_other,0.9164088914960449,0.6231129426498607,1.3477576839306846
clusterSIDD,0.07336169759250545,0.16768373707132642,0.4375003734637672,0.6617485052964108,m2,mortality_any_other,1.0761196964348783,0.7746852764062977,1.4948439531820181
clusterSIRD,0.11917244630936026,0.20129531728492675,0.5920279116114543,0.5538318979727528,m2,mortality_any_other,1.1265641733725409,0.7592938855289119,1.6714830198355797
gender,0.05317210144027805,0.10402255825426447,0.5111593324815987,0.6092394925371252,m2,mortality_any_other,1.0546111295963747,0.8600952734939512,1.2931179474460437
dm_age,-0.06454501379503184,0.006874394250073959,-9.389192916064921,6.04617629030739e-21,m2,mortality_any_other,0.9374939131533906,0.9249470128413956,0.950211012087851
smoke_current,0.012256088482052629,0.13782996877828851,0.08892179683917373,0.9291440607969992,m2,mortality_any_other,1.0123315021116077,0.772679719764972,1.3263128874137715
Log(scale),-0.4125621392973848,0.07428308220971437,-5.553917891191542,2.793367321585351e-8,m2,mortality_any_other,0.6619520621767663,0.5722627840481583,0.765698110788205
