outcome,NoT2D,period,s0_MARD,s0_MOD,s0_SIDD,s0_SIRD,m0_MARD,m0_MOD,m0_SIDD,m0_SIRD,s3_MARD,s3_MOD,s3_SIDD,s3_SIRD
mortstat,Ref,Overall,"2.32 (2.04, 2.64)","0.86 (0.68, 1.1)","1.19 (0.86, 1.66)","1.37 (1, 1.88)","1.81 (1.64, 2.01)","0.6 (0.48, 0.75)","0.92 (0.7, 1.22)","0.97 (0.74, 1.28)","1.66 (1.45, 1.9)","2.51 (1.96, 3.21)","1.94 (1.39, 2.71)","1.64 (1.19, 2.25)"
mortality_heart,Ref,Overall,"2.4 (1.85, 3.1)","0.95 (0.6, 1.51)","1.39 (0.74, 2.6)","1.02 (0.49, 2.15)","1.68 (1.36, 2.07)","0.56 (0.35, 0.89)","1.37 (0.87, 2.15)","0.74 (0.4, 1.38)","1.68 (1.27, 2.22)","3.42 (2.1, 5.57)","2.59 (1.37, 4.89)","1.29 (0.61, 2.73)"
mortality_malignant_neoplasms,Ref,Overall,"1.58 (1.17, 2.12)","0.59 (0.34, 1.03)","1.02 (0.51, 2.06)","1.64 (0.94, 2.86)","1.33 (1.05, 1.68)","0.66 (0.43, 1.02)","0.66 (0.34, 1.28)","1.21 (0.74, 1.97)","1.14 (0.84, 1.56)","1.27 (0.72, 2.25)","1.38 (0.69, 2.79)","1.7 (0.97, 2.99)"
mortality_any_other,Ref,Overall,"2.69 (2.27, 3.18)","0.97 (0.71, 1.33)","1.19 (0.74, 1.9)","1.4 (0.9, 2.18)","2.13 (1.86, 2.44)","0.59 (0.43, 0.82)","0.83 (0.55, 1.25)","0.98 (0.66, 1.44)","1.99 (1.65, 2.39)","3.13 (2.25, 4.36)","2.06 (1.28, 3.31)","1.8 (1.15, 2.81)"
mortstat,Ref,10y,"2.32 (2, 2.69)","0.88 (0.66, 1.16)","0.95 (0.61, 1.5)","1.33 (0.91, 1.94)","1.8 (1.6, 2.03)","0.54 (0.41, 0.71)","0.85 (0.6, 1.19)","0.92 (0.66, 1.27)","1.72 (1.47, 2.02)","2.76 (2.06, 3.69)","1.75 (1.11, 2.76)","1.66 (1.13, 2.42)"
mortality_heart,Ref,10y,"2.26 (1.66, 3.08)","0.96 (0.55, 1.67)","1.32 (0.6, 2.9)","1.11 (0.47, 2.58)","1.59 (1.24, 2.03)","0.51 (0.29, 0.9)","1.42 (0.84, 2.4)","0.7 (0.33, 1.48)","1.68 (1.2, 2.35)","4.11 (2.31, 7.33)","3.09 (1.39, 6.87)","1.57 (0.67, 3.68)"
mortality_malignant_neoplasms,Ref,10y,"1.63 (1.17, 2.27)","0.72 (0.4, 1.29)","1.31 (0.63, 2.71)","1.43 (0.72, 2.84)","1.41 (1.09, 1.82)","0.62 (0.37, 1.03)","0.69 (0.33, 1.45)","1.07 (0.59, 1.94)","1.23 (0.87, 1.74)","1.64 (0.9, 2.99)","1.92 (0.92, 3.99)","1.54 (0.77, 3.07)"
mortality_any_other,Ref,10y,"2.74 (2.25, 3.34)","0.93 (0.63, 1.37)","0.57 (0.25, 1.32)","1.38 (0.81, 2.35)","2.13 (1.82, 2.49)","0.51 (0.34, 0.77)","0.63 (0.36, 1.12)","0.95 (0.59, 1.51)","2.08 (1.67, 2.58)","3.21 (2.14, 4.82)","1.13 (0.49, 2.61)","1.83 (1.07, 3.14)"
mortstat,Ref,5y,"2.34 (1.91, 2.85)","0.69 (0.44, 1.07)","1.17 (0.66, 2.07)","1.45 (0.88, 2.39)","1.75 (1.49, 2.05)","0.42 (0.27, 0.65)","1.01 (0.65, 1.56)","1.11 (0.74, 1.68)","1.86 (1.5, 2.32)","2.31 (1.46, 3.64)","2.21 (1.23, 3.95)","1.86 (1.13, 3.07)"
mortality_heart,Ref,5y,"1.63 (1.02, 2.6)","0.48 (0.17, 1.37)","1.49 (0.55, 4.09)","1.01 (0.31, 3.27)","1.22 (0.85, 1.76)","0.31 (0.12, 0.82)","1.85 (0.99, 3.46)","0.71 (0.27, 1.91)","1.19 (0.71, 2)","2.28 (0.77, 6.71)","3.72 (1.33, 10.37)","1.38 (0.42, 4.51)"
mortality_malignant_neoplasms,Ref,5y,"1.87 (1.23, 2.84)","0.61 (0.25, 1.48)","1.85 (0.78, 4.39)","2.47 (1.2, 5.07)","1.46 (1.05, 2.04)","0.46 (0.21, 1.04)","0.56 (0.18, 1.73)","1.61 (0.83, 3.11)","1.55 (0.99, 2.41)","1.59 (0.64, 3.93)","2.91 (1.22, 6.97)","2.86 (1.38, 5.92)"
mortality_any_other,Ref,5y,"3.01 (2.32, 3.91)","0.85 (0.47, 1.52)","0.57 (0.17, 1.91)","1.08 (0.46, 2.52)","2.22 (1.8, 2.74)","0.46 (0.24, 0.85)","0.77 (0.37, 1.61)","1.06 (0.57, 1.97)","2.47 (1.85, 3.3)","2.92 (1.59, 5.36)","1.1 (0.33, 3.7)","1.46 (0.62, 3.41)"
