outcome,MARD,MOD,SIDD,SIRD,type
All Cause,Ref,"0.98 (0.74, 1.29)","1.02 (0.75, 1.38)","0.84 (0.63, 1.13)",overall
Heart Disease,Ref,"1.2 (0.68, 2.12)","1.81 (1.07, 3.07)","0.75 (0.39, 1.46)",overall
Cancer,Ref,"0.89 (0.51, 1.56)","0.72 (0.35, 1.48)","1.17 (0.67, 2.04)",overall
Other,Ref,"0.92 (0.63, 1.35)","0.84 (0.54, 1.31)","0.75 (0.5, 1.13)",overall
All Cause,Ref,"0.96 (0.68, 1.34)","1.03 (0.7, 1.49)","0.87 (0.61, 1.24)",5y
Heart Disease,Ref,"1.37 (0.68, 2.76)","2.36 (1.27, 4.39)","0.88 (0.4, 1.95)",5y
Cancer,Ref,"0.76 (0.4, 1.45)","0.7 (0.31, 1.57)","0.97 (0.5, 1.88)",5y
Other,Ref,"0.9 (0.55, 1.46)","0.73 (0.4, 1.33)","0.82 (0.5, 1.35)",5y
All Cause,Ref,"0.78 (0.47, 1.3)","1.23 (0.76, 2.01)","1.1 (0.7, 1.73)",10y
Heart Disease,Ref,"1.52 (0.48, 4.84)","4.67 (2.13, 10.27)","1.36 (0.47, 3.96)",10y
Cancer,Ref,"0.53 (0.2, 1.37)","0.52 (0.15, 1.74)","1.36 (0.64, 2.9)",10y
Other,Ref,"0.73 (0.36, 1.5)","0.8 (0.36, 1.77)","0.86 (0.44, 1.68)",10y
