outcome,MARD,MOD,SIDD,SIRD,type
All Cause,Ref,"1.15 (0.88, 1.5)","1.01 (0.73, 1.38)","0.92 (0.68, 1.24)",overall
Heart Disease,Ref,"1.42 (0.84, 2.4)","1.25 (0.68, 2.32)","0.68 (0.34, 1.37)",overall
Cancer,Ref,"0.85 (0.46, 1.58)","1.08 (0.55, 2.15)","1.41 (0.8, 2.47)",overall
Other,Ref,"1.16 (0.81, 1.66)","0.87 (0.55, 1.36)","0.83 (0.55, 1.26)",overall
All Cause,Ref,"1.26 (0.92, 1.74)","0.92 (0.6, 1.41)","0.96 (0.67, 1.37)",5y
Heart Disease,Ref,"1.77 (0.93, 3.37)","1.51 (0.7, 3.26)","0.92 (0.42, 2.04)",5y
Cancer,Ref,"0.94 (0.48, 1.83)","1.29 (0.63, 2.67)","1.16 (0.59, 2.28)",5y
Other,Ref,"1.25 (0.8, 1.94)","0.5 (0.24, 1.08)","0.89 (0.54, 1.46)",5y
All Cause,Ref,"0.98 (0.61, 1.57)","1.11 (0.64, 1.92)","1.04 (0.65, 1.66)",10y
Heart Disease,Ref,"1.68 (0.54, 5.21)","2.81 (1.01, 7.81)","1.29 (0.42, 3.96)",10y
Cancer,Ref,"0.64 (0.25, 1.63)","1.5 (0.63, 3.59)","1.7 (0.82, 3.56)",10y
Other,Ref,"1.03 (0.54, 1.95)","0.46 (0.16, 1.38)","0.64 (0.3, 1.39)",10y
