term,estimate,std.error,statistic,p.value,model,outcome
clusterMOD,-1.072873093126511,0.10986417850945608,-9.765449554917193,1.5840788989028125e-22,m0,mortstat
clusterSIDD,-0.8483857595882135,0.16573719453633248,-5.118861592665806,3.073854333049421e-7,m0,mortstat
clusterSIRD,-0.7944876175918307,0.1505303798305204,-5.277922094439215,1.3065698738947693e-7,m0,mortstat
clusterMOD,-0.1782040017946859,0.12909299965963233,-1.3804311795724016,0.167453925610954,m1,mortstat
clusterSIDD,-0.16224399466374634,0.17264740759409633,-0.9397418526271243,0.34734999152461404,m1,mortstat
clusterSIRD,-0.05309094807829834,0.1591383628434947,-0.33361501984603714,0.7386700828167485,m1,mortstat
dm_age,0.07005605982522875,0.005253834638220326,13.334271945977996,1.4627575754066837e-40,m1,mortstat
clusterMOD,-0.13186617251037455,0.1295065207444316,-1.0182203317051461,0.30857325926634294,m2,mortstat
clusterSIDD,-0.1767465610330431,0.17259539454888548,-1.02405143251364,0.30581098247664157,m2,mortstat
clusterSIRD,-0.02707211492208478,0.15946628548942304,-0.16976701275129658,0.8651933703096988,m2,mortstat
gender,-0.493057668101314,0.09014668774062022,-5.469503987988918,4.512967693443529e-8,m2,mortstat
dm_age,0.07349929211343804,0.0053410969938498245,13.76108544706661,4.3691733153615806e-43,m2,mortstat
clusterMOD,-1.3151293959879167,0.24569226991224366,-5.352750399748655,8.662730465022987e-8,m0,mortality_heart
clusterSIDD,-0.30455746424324376,0.2676420936306254,-1.1379281192724695,0.255150498489998,m0,mortality_heart
clusterSIRD,-0.90173844283076,0.3218958589912978,-2.8013359527409696,0.005089150835699898,m0,mortality_heart
clusterMOD,-0.2723022364152427,0.28263373059522306,-0.9634456433836741,0.3353239300103939,m1,mortality_heart
clusterSIDD,0.48500561187228347,0.28490711531917834,1.7023288847277014,0.08869373300913862,m1,mortality_heart
clusterSIRD,-0.05231324436711412,0.33786947325283206,-0.15483270466393229,0.8769532075160312,m1,mortality_heart
dm_age,0.08150346081148725,0.010696773447675816,7.61944349014854,2.547717150200141e-14,m1,mortality_heart
clusterMOD,-0.20097746126006524,0.2836872151939589,-0.7084473691303134,0.4786674850172905,m2,mortality_heart
clusterSIDD,0.46304957710321654,0.28463703538825835,1.626807194895053,0.10377805307507004,m2,mortality_heart
clusterSIRD,-0.010568565335235324,0.3386890981551848,-0.03120432689685479,0.975106589231535,m2,mortality_heart
gender,-0.75787312287112,0.1911769081645125,-3.9642503383251246,7.362695684000343e-5,m2,mortality_heart
dm_age,0.08699968546989532,0.0109172606363952,7.969003247926669,1.5995925621391608e-15,m2,mortality_heart
clusterMOD,-0.44589488947065153,0.2183723835534325,-2.0419014630645713,0.04116130662937676,m0,mortality_malignant_neoplasms
clusterSIDD,-0.800883032786485,0.40150865805043207,-1.994684340495315,0.04607731836460158,m0,mortality_malignant_neoplasms
clusterSIRD,-0.15287851140703668,0.28413236166363615,-0.5380538510710672,0.5905398714371858,m0,mortality_malignant_neoplasms
clusterMOD,0.1185398072370177,0.2618983342316239,0.4526176448765826,0.6508240908400943,m1,mortality_malignant_neoplasms
clusterSIDD,-0.34934253422898126,0.4164583529812541,-0.8388414633256404,0.4015582797253839,m1,mortality_malignant_neoplasms
clusterSIRD,0.32937788550440755,0.3075911183875398,1.0708302867491064,0.2842457461530975,m1,mortality_malignant_neoplasms
dm_age,0.04387551628316153,0.011275143319664595,3.8913488759508477,9.968847224262785e-5,m1,mortality_malignant_neoplasms
clusterMOD,0.15490240051558032,0.26259027773385785,0.5899015068355957,0.5552566838429992,m2,mortality_malignant_neoplasms
clusterSIDD,-0.3625758760681655,0.41640000683725886,-0.8707393614666068,0.3838964813623925,m2,mortality_malignant_neoplasms
clusterSIRD,0.34863212111801567,0.30857415775256175,1.1298163257001432,0.25855362755431255,m2,mortality_malignant_neoplasms
gender,-0.42074554975518547,0.1953503695304273,-2.1537996102415926,0.031255890297448026,m2,mortality_malignant_neoplasms
dm_age,0.04620276223839107,0.011438836692831404,4.039113721008523,5.365354891601315e-5,m2,mortality_malignant_neoplasms
clusterMOD,-1.5909031429572202,0.5479790049621931,-2.9032191535640712,0.0036934807680136894,m0,mortality_chronic_lower_respiratory
clusterSIDD,-1.7518873924094054,1.0249250714798008,-1.7092833819354292,0.08739847003387173,m0,mortality_chronic_lower_respiratory
clusterSIRD,-18.132603088386716,3307.8135902745357,-0.005481748772572695,0.9956262191932136,m0,mortality_chronic_lower_respiratory
clusterMOD,-0.10195581667712877,0.6474094682027774,-0.1574827395715424,0.8748644099829402,m1,mortality_chronic_lower_respiratory
clusterSIDD,-0.6326276009796837,1.0516951788989766,-0.6015313311999622,0.5474861501352376,m1,mortality_chronic_lower_respiratory
clusterSIRD,-17.870629456176648,5151.8072320866995,-0.0034688078670479074,0.9972322973089481,m1,mortality_chronic_lower_respiratory
dm_age,0.11479152691392303,0.025129395521187373,4.568017834616783,4.92358147896707e-6,m1,mortality_chronic_lower_respiratory
clusterMOD,-0.04507919696984,0.6506595356470685,-0.06928231202361401,0.9447649048632132,m2,mortality_chronic_lower_respiratory
clusterSIDD,-0.6476952755587697,1.0513990862246607,-0.6160318037601676,0.5378735296004816,m2,mortality_chronic_lower_respiratory
clusterSIRD,-17.83859092414834,5174.307191740369,-0.0034475322517812015,0.9972492726923867,m2,mortality_chronic_lower_respiratory
gender,-0.5130874198588572,0.4124927344773707,-1.243870199335608,0.21354733882783536,m2,mortality_chronic_lower_respiratory
dm_age,0.11913212675353196,0.025532585745762542,4.6658857015021855,3.0729048956872083e-6,m2,mortality_chronic_lower_respiratory
